"number","relationship","country_iso","country_name","partner_iso","partner_name"
44263,19251,LAO,Lao,THA,Thailand
44002,12136,EGY,Egypt,ARE,United Arab Emirates
43847,3795,BGD,Bangladesh,GBR,United Kingdom
43824,2583,AUS,Australia,ITA,Italy
43681,14925,GHA,Ghana,GBR,United Kingdom
43663,4430,BEL,Belgium,TUR,Turkey
43628,6105,BRA,Brazil,GBR,United Kingdom
43510,8868,CHN,China,UKR,Ukraine
43364,24714,QAT,Qatar,PSE,State of Palestine
43315,15388,GRD,Grenada,USA,United States of America
43138,8941,TWN,Chinese Taipei,JPN,Japan
42990,16831,HUN,Hungary,SVK,Slovakia
42967,26634,TZA,Tanzania,UGA,Uganda
42767,14957,GRC,Greece,ISR,Israel
42764,17096,IND,India,RUS,Russia
42674,4225,BLR,Belarus,USA,United States of America
42652,17777,ISR,Israel,POL,Poland
42628,25105,RUS,Russia,SWE,Sweden
42577,19505,LBN,Lebanon,TUR,Turkey
42413,16804,HUN,Hungary,POL,Poland
42397,26025,SGP,Singapore,GBR,United Kingdom
42295,19124,KGZ,Kyrgyzstan,TJK,Tajikistan
41621,5071,BMU,Bermuda,USA,United States of America
41279,10886,DNK,Denmark,SWE,Sweden
41258,20762,MYS,Malaysia,SAU,Saudi Arabia
41218,18337,JPN,Japan,SGP,Singapore
41185,18270,JPN,Japan,MYS,Malaysia
41169,2671,AUS,Australia,SYC,Seychelles
40833,3524,BHR,Bahrain,QAT,Qatar
40813,22913,NLD,Netherlands,TUR,Turkey
40797,17833,ISR,Israel,UKR,Ukraine
40759,12129,EGY,Egypt,TUN,Tunisia
40749,25099,RUS,Russia,ESP,Spain
40508,3456,BHR,Bahrain,ISR,Israel
40423,10667,CZE,Czechia,POL,Poland
40285,2112,ARM,Armenia,FRA,France
40224,3453,BHR,Bahrain,IRN,Iran
40006,26948,GBR,United Kingdom,YEM,Yemen
39907,25118,RUS,Russia,TKM,Turkmenistan
39629,13740,FRA,France,NGA,Nigeria
39509,13820,FRA,France,VNM,Vietnam
39154,18631,KAZ,Kazakhstan,USA,United States of America
39048,11787,COD,DR Congo,UGA,Uganda
38940,18517,KAZ,Kazakhstan,KGZ,Kyrgyzstan
38930,11583,PRK,DPR Korea,SGP,Singapore
38875,20807,MYS,Malaysia,VNM,Vietnam
38839,8415,TCD,Chad,NGA,Nigeria
38738,10544,CYP,Cyprus,GBR,United Kingdom
38712,17418,IRN,Iran,TKM,Turkmenistan
38426,7672,CAN,Canada,SAU,Saudi Arabia
38370,10581,CZE,Czechia,DEU,Germany
38311,10272,CUB,Cuba,MEX,Mexico
38209,7585,CAN,Canada,IRL,Ireland
38163,4315,BEL,Belgium,ITA,Italy
38115,19512,LBN,Lebanon,GBR,United Kingdom
38082,9462,COG,Congo,COD,DR Congo
38067,4166,BLR,Belarus,POL,Poland
37992,5955,BRA,Brazil,FRA,France
37836,24737,QAT,Qatar,GBR,United Kingdom
37699,10545,CYP,Cyprus,USA,United States of America
37537,7649,CAN,Canada,PHL,Philippines
37485,24812,KOR,Republic of Korea,VNM,Vietnam
37482,14645,DEU,Germany,IRL,Ireland
37443,10337,CUB,Cuba,ESP,Spain
37366,2651,AUS,Australia,KOR,Republic of Korea
37147,8757,CHN,China,KGZ,Kyrgyzstan
37105,8883,CHN,China,ZWE,Zimbabwe
37099,451,ALB,Albania,USA,United States of America
37025,15750,GTM,Guatemala,MEX,Mexico
36970,17751,ISR,Israel,MAR,Morocco
36964,13728,FRA,France,MAR,Morocco
36953,17026,IND,India,JPN,Japan
36847,24387,PHL,Philippines,GBR,United Kingdom
36833,18493,JOR,Jordan,TUR,Turkey
36810,1860,ARG,Argentina,CHL,Chile
36790,17851,ITA,Italy,JPN,Japan
36744,91,AFG,Afghanistan,IND,India
36731,17767,ISR,Israel,NOR,Norway
36725,13410,FJI,Fiji,NZL,New Zealand
36616,7634,CAN,Canada,NZL,New Zealand
36559,2688,AUS,Australia,SYR,Syria
36451,22550,MMR,Myanmar,GBR,United Kingdom
36446,8845,CHN,China,ESP,Spain
36194,18707,KEN,Kenya,SDN,Republic of the Sudan
36168,10421,CYP,Cyprus,ISR,Israel
36156,12023,EGY,Egypt,KWT,Kuwait
36030,308,ALB,Albania,GRC,Greece
35997,17443,IRQ,Iraq,JPN,Japan
35989,26195,SOM,Somalia,GBR,United Kingdom
35917,26011,SGP,Singapore,THA,Thailand
35856,24868,MDA,Republic of Moldova,UKR,Ukraine
35603,11516,PRK,DPR Korea,MYS,Malaysia
35396,26613,TJK,Tajikistan,UZB,Uzbekistan
35386,596,DZA,Algeria,MAR,Morocco
35384,10180,HRV,Croatia,USA,United States of America
35365,8758,CHN,China,LAO,Lao
35347,12148,EGY,Egypt,YEM,Yemen
35306,17293,IDN,Indonesia,VNM,Vietnam
35094,18451,JOR,Jordan,RUS,Russia
34934,6572,BGR,Bulgaria,GRC,Greece
34810,17431,IRN,Iran,VEN,Venezuela
34752,13630,FIN,Finland,SWE,Sweden
34704,17952,ITA,Italy,CHE,Switzerland
34680,19284,LVA,Latvia,LTU,Lithuania
34355,8792,CHN,China,NLD,Netherlands
34239,11623,PRK,DPR Korea,VNM,Vietnam
34233,23756,NOR,Norway,SWE,Sweden
34201,14639,DEU,Germany,HUN,Hungary
34154,8745,CHN,China,IRQ,Iraq
34083,14750,DEU,Germany,SWE,Sweden
34065,2681,AUS,Australia,LKA,Sri Lanka
34031,26638,TZA,Tanzania,USA,United States of America
33777,6112,BRA,Brazil,VEN,Venezuela
33776,17285,IDN,Indonesia,GBR,United Kingdom
33702,24804,KOR,Republic of Korea,GBR,United Kingdom
33625,1365,AGO,Angola,USA,United States of America
33373,17817,ISR,Israel,CHE,Switzerland
